date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:20	23769/23769	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:20%20GMT	https://sophiehustin.com/sculptures/reflexion	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/sculptures/reflexion.html	(from https://sophiehustin.com/sculptures/souvenir)
12:43:20	148505/148505	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:04:04%20GMT	https://sophiehustin.com/wp-content/uploads/2017/07/QUE-DE-PASSAGE-2-81X60.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/07/QUE-DE-PASSAGE-2-81X60.jpg	(from https://sophiehustin.com/peintures/que-de-passage)
12:43:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:21%20GMT	https://sophiehustin.com/?p=274	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/indexd251.html	(from https://sophiehustin.com/peintures/que-de-passage)
12:43:21	23639/23639	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:21%20GMT	https://sophiehustin.com/peintures/et-maintenant-quest-ce-quon-fait	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/et-maintenant-quest-ce-quon-fait.html	(from https://sophiehustin.com/peintures/que-de-passage)
12:43:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:21%20GMT	https://sophiehustin.com/?p=402	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index2e64.html	(from https://sophiehustin.com/sculptures/reflexion)
12:43:21	189852/189852	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Sep%202017%2005:34:47%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/sculpture-d%c3%a9tail-reflexion-138x25.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/sculpture-d%c3%a9tail-reflexion-138x25.jpg	(from https://sophiehustin.com/sculptures/reflexion)
12:43:22	23748/23748	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:22%20GMT	https://sophiehustin.com/sculptures/le-choix	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/sculptures/le-choix.html	(from https://sophiehustin.com/sculptures/reflexion)
12:43:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:22%20GMT	https://sophiehustin.com/?p=272	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/indexcde3.html	(from https://sophiehustin.com/peintures/et-maintenant-quest-ce-quon-fait)
12:43:23	23508/23508	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:23%20GMT	https://sophiehustin.com/peintures/traversee	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/traversee.html	(from https://sophiehustin.com/peintures/et-maintenant-quest-ce-quon-fait)
12:43:23	594518/594518	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2008:59:49%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/et-maintenant-quest-ce-quon-fait-soh.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/et-maintenant-quest-ce-quon-fait-soh.jpg	(from https://sophiehustin.com/peintures/et-maintenant-quest-ce-quon-fait)
12:43:23	61415/61415	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:02:35%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/sohja01-le-choix.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/sohja01-le-choix.jpg	(from https://sophiehustin.com/sculptures/le-choix)
12:43:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:23%20GMT	https://sophiehustin.com/?p=400	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index2d8c.html	(from https://sophiehustin.com/sculptures/le-choix)
12:43:23	23748/23748	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:23%20GMT	https://sophiehustin.com/sculptures/suspendu	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/sculptures/suspendu.html	(from https://sophiehustin.com/sculptures/le-choix)
